"Country","Medal","Count"
"Australia","Bronze",17
"Australia","Gold",14
"Australia","Silver",16
"China","Bronze",28
"China","Gold",51
"China","Silver",21
"France","Bronze",18
"France","Gold",7
"France","Silver",16
"Germany","Bronze",15
"Germany","Gold",17
"Germany","Silver",10
"Italy","Bronze",10
"Italy","Gold",8
"Italy","Silver",9
"Russia","Bronze",28
"Russia","Gold",23
"Russia","Silver",21
"South Korea","Bronze",8
"South Korea","Gold",14
"South Korea","Silver",10
"Ukraine","Bronze",15
"Ukraine","Gold",7
"Ukraine","Silver",5
"United Kingdom","Bronze",16
"United Kingdom","Gold",19
"United Kingdom","Silver",13
"United States","Bronze",36
"United States","Gold",37
"United States","Silver",38
