"Country","Medal","Count"
"Australia","Gold",14
"Australia","Silver",16
"Australia","Bronze",17
"China","Gold",51
"China","Silver",21
"China","Bronze",28
"France","Gold",7
"France","Silver",16
"France","Bronze",18
"Germany","Gold",17
"Germany","Silver",10
"Germany","Bronze",15
"Italy","Gold",8
"Italy","Silver",9
"Italy","Bronze",10
"Russia","Gold",23
"Russia","Silver",21
"Russia","Bronze",28
"South Korea","Gold",14
"South Korea","Silver",10
"South Korea","Bronze",8
"Ukraine","Gold",7
"Ukraine","Silver",5
"Ukraine","Bronze",15
"United Kingdom","Gold",19
"United Kingdom","Silver",13
"United Kingdom","Bronze",16
"United States","Gold",37
"United States","Silver",38
"United States","Bronze",36
