"Country","Sport","Count"
"China","Aquatics",18
"China","Archery",3
"China","Athletics",2
"China","Badminton",8
"China","Boxing",4
"China","Canoe / Kayak",1
"China","Cycling",1
"China","Fencing",2
"China","Gymnastics",18
"China","Hockey",1
"China","Judo",4
"China","Rowing",2
"China","Sailing",2
"China","Shooting",8
"China","Table Tennis",8
"China","Taekwondo",2
"China","Tennis",1
"China","Volleyball",3
"China","Weightlifting",9
"China","Wrestling",3
"United States","Aquatics",33
"United States","Athletics",23
"United States","Baseball",1
"United States","Basketball",2
"United States","Boxing",1
"United States","Cycling",5
"United States","Equestrian",4
"United States","Fencing",6
"United States","Football",1
"United States","Gymnastics",10
"United States","Judo",1
"United States","Rowing",3
"United States","Sailing",2
"United States","Shooting",6
"United States","Softball",1
"United States","Taekwondo",3
"United States","Tennis",2
"United States","Volleyball",4
"United States","Wrestling",3
