"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude"
"Athens",2004,"Aquatics","Diving","3m springboard","DESPATIE, Alexandre","Men","CAN","Canada","M","Silver",56.130366,-106.346771
"Athens",2004,"Aquatics","Diving","3m springboard","SAUTIN, Dmitry","Men","RUS","Russia","M","Bronze",61.52401,105.318756
"Athens",2004,"Aquatics","Diving","3m springboard","PAKHALINA, Ioulia","Women","RUS","Russia","W","Bronze",61.52401,105.318756
"Athens",2004,"Aquatics","Diving","synchronized diving 3m springboard","NEWBERY, Robert","Men","AUS","Australia","M","Bronze",-25.274398,133.775136
"Athens",2004,"Aquatics","Diving","synchronized diving 3m springboard","BIMIS, Thomas","Men","GRE","Greece","M","Gold",39.074208,21.824312
"Athens",2004,"Aquatics","Diving","synchronized diving 3m springboard","ILYINA, Vera","Women","RUS","Russia","W","Silver",61.52401,105.318756
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","LI, Ting","Women","CHN","China","W","Gold",35.86166,104.195397
"Athens",2004,"Aquatics","Diving","synchronized diving 3m springboard","LASHKO, Irina","Women","AUS","Australia","W","Bronze",-25.274398,133.775136
"Athens",2004,"Aquatics","Diving","10m platform","LAO, Lishi","Women","CHN","China","W","Silver",35.86166,104.195397
"Athens",2004,"Aquatics","Diving","synchronized diving 3m springboard","GUO, Jingjing","Women","CHN","China","W","Gold",35.86166,104.195397
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","HARTLEY, Blythe","Women","CAN","Canada","W","Bronze",56.130366,-106.346771
"Athens",2004,"Aquatics","Diving","10m platform","HELM, Mathew","Men","AUS","Australia","M","Silver",-25.274398,133.775136
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","HELM, Mathew","Men","AUS","Australia","M","Bronze",-25.274398,133.775136
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","HEYMANS, Emilie","Women","CAN","Canada","W","Bronze",56.130366,-106.346771
"Athens",2004,"Aquatics","Diving","3m springboard","PENG, Bo","Men","CHN","China","M","Gold",35.86166,104.195397
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","TAYLOR, Leon","Men","GBR","United Kingdom","M","Silver",55.378051,-3.435973
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","TIAN, Liang","Men","CHN","China","M","Gold",35.86166,104.195397
