"Country","No. of Gold medals","latitude","longitude"
"Argentina",46,-38.416097,-63.616672
"Australia",80,-25.274398,133.775136
"Austria",3,47.516231,14.550072
"Azerbaijan",2,40.143105,47.576927
"Bahamas",1,25.03428,-77.39628
"Belarus",10,53.709807,27.953389
"Belgium",2,50.503887,4.469936
"Brazil",32,-14.235004,-51.92528
"Bulgaria",3,42.733883,25.48583
"Cameroon",2,7.369722,12.354722
"Canada",14,56.130366,-106.346771
"Chile",3,-35.675147,-71.542969
"China",126,35.86166,104.195397
"Croatia",14,45.1,15.2
"Cuba",33,21.521757,-77.781167
"Czech Republic",4,49.817492,15.472962
"Denmark",25,56.26392,9.501785
"Dominican Republic",2,18.735693,-70.162651
"Egypt",1,26.820553,30.802498
"Estonia",1,58.595272,25.013607
"Ethiopia",6,9.145,40.489673
"Finland",1,61.92411,25.748151
"France",46,46.227638,2.213749
"Georgia",5,42.315407,43.356892
"Germany",83,51.165691,10.451526
"Greece",8,39.074208,21.824312
"Hungary",40,47.162494,19.503304
"India",1,20.593684,78.96288
"Indonesia",3,-0.789275,113.921327
"Iran",3,32.427908,53.688046
"Israel",1,31.046051,34.851612
"Italy",32,41.87194,12.56738
"Jamaica",15,18.109581,-77.297508
"Japan",44,36.204824,138.252924
"Kazakhstan",3,48.019573,66.923684
"Kenya",7,-0.023559,37.906193
"North Korea",2,40.339852,127.510093
"South Korea",55,35.907757,127.766922
"Latvia",1,56.879635,24.603189
"Lithuania",1,55.169438,23.881275
"Mexico",2,23.634501,-102.552784
"Mongolia",2,46.862496,103.846656
"Morocco",2,31.791702,-7.09262
"Netherlands",44,52.132633,5.291266
"New Zealand",8,-40.900557,174.885971
"Norway",21,60.472024,8.468946
"Panama",1,8.537981,-80.782127
"Poland",10,51.919438,19.145136
"Portugal",1,39.399872,-8.224454
"Romania",28,45.943161,24.96676
"Russia",90,61.52401,105.318756
"Slovakia",7,48.669026,19.699024
"Slovenia",1,46.151241,14.995463
"South Africa",4,-30.559482,22.937506
"Spain",11,40.463667,-3.74922
"Sweden",5,60.128161,18.643501
"Switzerland",4,46.818188,8.227512
"Taiwan",2,23.69781,120.960515
"Thailand",5,15.870032,100.992541
"Tunisia",1,33.886917,9.537499
"Turkey",4,38.963745,35.243322
"Ukraine",19,48.379433,31.16558
"United Arab Emirates",1,23.424076,53.847818
"United Kingdom",48,55.378051,-3.435973
"United States",241,37.09024,-95.712891
"Uzbekistan",3,41.377491,64.585262
"Zimbabwe",2,-19.015438,29.154857
