Country,Gold_Medals,latitude,longitude,continent
Belarus,4,53.709807,27.953389,Europe
Belgium,1,50.503887,4.469936,Europe
Bulgaria,1,42.733883,25.48583,Europe
Czech Republic,3,49.817492,15.472962,Europe
Denmark,2,56.26392,9.501785,Europe
Estonia,1,58.595272,25.013607,Europe
Finland,1,61.92411,25.748151,Europe
France,7,46.227638,2.213749,Europe
Germany,17,51.165691,10.451526,Europe
Hungary,3,47.162494,19.503304,Europe
Italy,8,41.87194,12.56738,Europe
Latvia,1,56.879635,24.603189,Europe
Netherlands,7,52.132633,5.291266,Europe
Norway,3,60.472024,8.468946,Europe
Poland,3,51.919438,19.145136,Europe
Portugal,1,39.399872,-8.224454,Europe
Romania,4,45.943161,24.96676,Europe
Russia,23,58,36,Europe
Slovakia,3,48.669026,19.699024,Europe
Slovenia,1,46.151241,14.995463,Europe
Spain,5,40.463667,-3.74922,Europe
Switzerland,2,46.818188,8.227512,Europe
Ukraine,7,48.379433,31.16558,Europe
United Kingdom,19,55.378051,-3.435973,Europe
