"Country","Gold_Medals","latitude","longitude","continent"
"Argentina",2,-38.416097,-63.616672,"South America"
"Australia",14,-25.274398,133.775136,"Oceania"
"Azerbaijan",1,40.143105,47.576927,"Asia"
"Belarus",4,53.709807,27.953389,"Europe"
"Belgium",1,50.503887,4.469936,"Europe"
"Brazil",3,-14.235004,-51.92528,"South America"
"Bulgaria",1,42.733883,25.48583,"Europe"
"Cameroon",1,7.369722,12.354722,"Africa"
"Canada",3,56.130366,-106.346771,"North America"
"China",51,35.86166,104.195397,"Asia"
"Cuba",2,21.521757,-77.781167,"North America"
"Czech Republic",3,49.817492,15.472962,"Europe"
"Denmark",2,56.26392,9.501785,"Europe"
"Dominican Republic",1,18.735693,-70.162651,"North America"
"Estonia",1,58.595272,25.013607,"Europe"
"Ethiopia",4,9.145,40.489673,"Africa"
"Finland",1,61.92411,25.748151,"Europe"
"France",7,46.227638,2.213749,"Europe"
"Georgia",3,42.315407,43.356892,"Asia"
"Germany",17,51.165691,10.451526,"Europe"
"Hungary",3,47.162494,19.503304,"Europe"
"India",1,20.593684,78.96288,"Asia"
"Indonesia",1,-0.789275,113.921327,"Asia"
"Iran",1,32.427908,53.688046,"Asia"
"Italy",8,41.87194,12.56738,"Europe"
"Jamaica",6,18.109581,-77.297508,"North America"
"Japan",9,36.204824,138.252924,"Asia"
"Kazakhstan",2,48.019573,66.923684,"Asia"
"Kenya",6,-0.023559,37.906193,"Africa"
"Latvia",1,56.879635,24.603189,"Europe"
"Mexico",2,23.634501,-102.552784,"North America"
"Mongolia",2,46.862496,103.846656,"Asia"
"Netherlands",7,52.132633,5.291266,"Europe"
"New Zealand",3,-40.900557,174.885971,"Oceania"
"North Korea",2,40.339852,127.510093,"Asia"
"Norway",3,60.472024,8.468946,"Europe"
"Panama",1,8.537981,-80.782127,"North America"
"Poland",3,51.919438,19.145136,"Europe"
"Portugal",1,39.399872,-8.224454,"Europe"
"Romania",4,45.943161,24.96676,"Europe"
"Russia",23,61.52401,105.318756,"Europe"
"Slovakia",3,48.669026,19.699024,"Europe"
"Slovenia",1,46.151241,14.995463,"Europe"
"South Korea",14,35.907757,127.766922,"Asia"
"Spain",5,40.463667,-3.74922,"Europe"
"Switzerland",2,46.818188,8.227512,"Europe"
"Thailand",2,15.870032,100.992541,"Asia"
"Tunisia",1,33.886917,9.537499,"Africa"
"Turkey",1,38.963745,35.243322,"Asia"
"Ukraine",7,48.379433,31.16558,"Europe"
"United Kingdom",19,55.378051,-3.435973,"Europe"
"United States",37,37.09024,-95.712891,"North America"
"Uzbekistan",1,41.377491,64.585262,"Asia"
"Zimbabwe",1,-19.015438,29.154857,"Africa"
