"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude","n"
"Athens",2004,"Aquatics","Diving","synchronized diving 3m springboard","BIMIS, Thomas","Men","GRE","Greece","M","Gold",39.074208,21.824312,38
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","LI, Ting","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Diving","synchronized diving 3m springboard","GUO, Jingjing","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Diving","3m springboard","PENG, Bo","Men","CHN","China","M","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","TIAN, Liang","Men","CHN","China","M","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Diving","10m platform","NEWBERY, Chantelle","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","YANG, Jinghui","Men","CHN","China","M","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Diving","3m springboard","GUO, Jingjing","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Diving","synchronized diving 10m platform","LAO, Lishi","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Diving","10m platform","HU, Jia","Men","CHN","China","M","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Diving","synchronized diving 3m springboard","WU, Minxia","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Diving","synchronized diving 3m springboard","SIRANIDIS, Nikolaos","Men","GRE","Greece","M","Gold",39.074208,21.824312,38
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","TRICKETT, Lisbeth","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","HENRY, Jodie","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","100m freestyle","VAN DEN HOOGENBAND, Pieter","Men","NED","Netherlands","M","Gold",52.132633,5.291266,138
"Athens",2004,"Aquatics","Swimming","100m breaststroke","LUO, Xuejuan","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Aquatics","Swimming","100m butterfly","PHELPS, Michael","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","200m individual medley","PHELPS, Michael","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","200m breaststroke","KITAJIMA, Kosuke","Men","JPN","Japan","M","Gold",36.204824,138.252924,145
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","FERNS, Lyndon","Men","RSA","South Africa","M","Gold",-30.559482,22.937506,11
"Athens",2004,"Aquatics","Swimming","100m freestyle","HENRY, Jodie","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","VOLLMER, Dana","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","200m backstroke","PEIRSOL, Aaron","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","WALKER, Neil","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","KETCHUM, Dan","Men","USA","United States","M","Gold",37.09024,-95.712891,579
