"Country","Gold_Medals","latitude","longitude","continent"
"Afghanistan",1,33.93911,67.709953,"Asia"
"Algeria",2,28.033886,1.659626,"Africa"
"Argentina",98,-38.416097,-63.616672,"South America"
"Armenia",6,40.069099,45.038189,"Asia"
"Australia",306,-25.274398,133.775136,"Oceania"
"Austria",11,47.516231,14.550072,"Europe"
"Azerbaijan",12,40.143105,47.576927,"Asia"
"Bahamas",7,25.03428,-77.39628,"North America"
"Belarus",47,53.709807,27.953389,"Europe"
"Belgium",8,50.503887,4.469936,"Europe"
"Brazil",115,-14.235004,-51.92528,"South America"
"Bulgaria",22,42.733883,25.48583,"Europe"
"Cameroon",2,7.369722,12.354722,"Africa"
"Canada",51,56.130366,-106.346771,"North America"
"Chile",5,-35.675147,-71.542969,"South America"
"China",278,35.86166,104.195397,"Asia"
"Colombia",4,4.570868,-74.297333,"South America"
"Croatia",25,45.1,15.2,"Europe"
"Cuba",108,21.521757,-77.781167,"North America"
"Czech Republic",19,49.817492,15.472962,"Europe"
"Denmark",47,56.26392,9.501785,"Europe"
"Dominican Republic",3,18.735693,-70.162651,"North America"
"Ecuador",1,-1.831239,-78.183406,"South America"
"Egypt",6,26.820553,30.802498,"Africa"
"Eritrea",1,15.179384,39.782334,"Africa"
"Estonia",6,58.595272,25.013607,"Europe"
"Ethiopia",14,9.145,40.489673,"Africa"
"Finland",7,61.92411,25.748151,"Europe"
"France",129,46.227638,2.213749,"Europe"
"Georgia",10,42.315407,43.356892,"Asia"
"Germany",250,51.165691,10.451526,"Europe"
"Greece",38,39.074208,21.824312,"Europe"
"Hong Kong",2,22.396428,114.109497,"Asia"
"Hungary",67,47.162494,19.503304,"Europe"
"Iceland",14,64.963051,-19.020835,"Europe"
"India",4,20.593684,78.96288,"Asia"
"Indonesia",12,-0.789275,113.921327,"Asia"
"Iran",8,32.427908,53.688046,"Asia"
"Ireland",3,53.41291,-8.24389,"Europe"
"Israel",3,31.046051,34.851612,"Asia"
"Italy",144,41.87194,12.56738,"Europe"
"Jamaica",30,18.109581,-77.297508,"North America"
"Japan",145,36.204824,138.252924,"Asia"
"Kazakhstan",21,48.019573,66.923684,"Asia"
"Kenya",21,-0.023559,37.906193,"Africa"
"Kyrgyzstan",2,41.20438,74.766098,"Asia"
"Latvia",7,56.879635,24.603189,"Europe"
"Lithuania",8,55.169438,23.881275,"Europe"
"Malaysia",1,4.210484,101.975766,"Asia"
"Mauritius",1,-20.348404,57.552152,"Africa"
"Mexico",8,23.634501,-102.552784,"North America"
"Moldova",1,47.411631,28.369885,"Europe"
"Mongolia",5,46.862496,103.846656,"Asia"
"Morocco",5,31.791702,-7.09262,"Africa"
"Netherlands",138,52.132633,5.291266,"Europe"
"New Zealand",20,-40.900557,174.885971,"Oceania"
"Nigeria",32,9.081999,8.675277,"Africa"
"North Korea",11,40.339852,127.510093,"Asia"
"Norway",29,60.472024,8.468946,"Europe"
"Panama",1,8.537981,-80.782127,"North America"
"Paraguay",17,-23.442503,-58.443832,"South America"
"Poland",32,51.919438,19.145136,"Europe"
"Portugal",5,39.399872,-8.224454,"Europe"
"Romania",61,45.943161,24.96676,"Europe"
"Russia",335,61.52401,105.318756,"Europe"
"Serbia",29,44.016521,21.005859,"Europe"
"Singapore",3,1.352083,103.819836,"Asia"
"Slovakia",20,48.669026,19.699024,"Europe"
"Slovenia",10,46.151241,14.995463,"Europe"
"South Africa",11,-30.559482,22.937506,"Africa"
"South Korea",130,35.907757,127.766922,"Asia"
"Spain",98,40.463667,-3.74922,"Europe"
"Sudan",1,12.862807,30.217636,"Africa"
"Sweden",19,60.128161,18.643501,"Europe"
"Switzerland",18,46.818188,8.227512,"Europe"
"Syria",1,34.802075,38.996815,"Asia"
"Taiwan",13,23.69781,120.960515,"Asia"
"Tajikistan",2,38.861034,71.276093,"Asia"
"Thailand",12,15.870032,100.992541,"Asia"
"Togo",1,8.619543,0.824782,"Africa"
"Trinidad and Tobago",6,10.691803,-61.222503,"North America"
"Tunisia",1,33.886917,9.537499,"Africa"
"Turkey",18,38.963745,35.243322,"Asia"
"Ukraine",79,48.379433,31.16558,"Europe"
"United Arab Emirates",1,23.424076,53.847818,"Asia"
"United Kingdom",134,55.378051,-3.435973,"Europe"
"United States",579,37.09024,-95.712891,"North America"
"Uzbekistan",11,41.377491,64.585262,"Asia"
"Venezuela",3,6.42375,-66.58973,"South America"
"Vietnam",1,14.058324,108.277199,"Asia"
"Zimbabwe",7,-19.015438,29.154857,"Africa"
